"date","open","high","low","close"
"2021-10-13","113.61","113.80","113.23","113.25"
"2021-10-12","113.31","113.79","113.01","113.61"
"2021-10-11","112.23","113.42","112.05","113.33"
"2021-10-08","111.64","112.25","111.52","112.23"
"2021-10-07","111.42","111.66","111.24","111.64"
"2021-10-06","111.47","111.78","111.20","111.42"
"2021-10-05","110.93","111.56","110.88","111.47"
"2021-10-04","111.08","111.30","110.83","110.92"
"2021-10-01","111.28","111.48","110.91","111.07"
"2021-09-30","111.97","112.08","111.24","111.28"
"2021-09-29","111.50","112.05","111.21","111.97"
"2021-09-28","111.01","111.64","110.92","111.50"
"2021-09-27","110.73","111.06","110.52","111.01"
"2021-09-24","110.28","110.80","110.25","110.74"
"2021-09-23","109.79","110.35","109.75","110.33"
"2021-09-22","109.22","109.90","109.12","109.81"
"2021-09-21","109.44","109.70","109.18","109.22"
"2021-09-20","109.93","110.04","109.32","109.41"
"2021-09-17","109.73","110.08","109.67","109.99"
"2021-09-16","109.38","109.81","109.20","109.74"
"2021-09-15","109.69","109.75","109.11","109.37"
"2021-09-14","110.00","110.16","109.53","109.69"
"2021-09-13","109.93","110.16","109.84","110.00"
"2021-09-10","109.71","109.99","109.69","109.91"
"2021-09-09","110.25","110.30","109.62","109.73"
"2021-09-08","110.28","110.45","110.14","110.27"
"2021-09-07","109.85","110.32","109.69","110.28"
"2021-09-06","109.72","109.94","109.71","109.84"
"2021-09-03","109.94","110.07","109.59","109.70"
"2021-09-02","110.02","110.11","109.92","109.93"
"2021-09-01","110.01","110.42","109.88","110.03"
"2021-08-31","109.91","110.08","109.59","110.00"
"2021-08-30","109.83","109.95","109.70","109.92"
"2021-08-27","110.08","110.26","109.78","109.85"
"2021-08-26","110.01","110.23","109.92","110.09"
"2021-08-25","109.64","110.12","109.61","110.00"
"2021-08-24","109.70","109.88","109.42","109.68"
"2021-08-23","109.78","110.15","109.65","109.69"
"2021-08-20","109.76","109.89","109.58","109.78"
"2021-08-19","109.81","110.22","109.49","109.77"
"2021-08-18","109.58","110.06","109.47","109.77"
"2021-08-17","109.25","109.66","109.13","109.59"
"2021-08-16","109.59","109.75","109.12","109.27"
"2021-08-13","110.41","110.46","109.55","109.61"
"2021-08-12","110.42","110.55","110.31","110.44"
"2021-08-11","110.58","110.80","110.31","110.44"
"2021-08-10","110.29","110.60","110.28","110.58"
"2021-08-09","110.23","110.36","110.03","110.32"
"2021-08-06","109.77","110.35","109.70","110.23"
"2021-08-05","109.48","109.80","109.41","109.77"
"2021-08-04","109.03","109.67","108.72","109.48"
"2021-08-03","109.31","109.35","108.86","109.03"
"2021-08-02","109.69","109.78","109.19","109.31"
"2021-07-30","109.48","109.83","109.36","109.69"
"2021-07-29","109.91","109.96","109.42","109.48"
"2021-07-28","109.77","110.29","109.74","109.91"
"2021-07-27","110.39","110.41","109.59","109.79"
"2021-07-26","110.55","110.58","110.13","110.39"
"2021-07-23","110.15","110.59","110.08","110.55"
"2021-07-22","110.29","110.35","110.02","110.15"
"2021-07-21","109.85","110.39","109.80","110.29"
"2021-07-20","109.45","109.95","109.33","109.86"
"2021-07-19","110.09","110.10","109.06","109.45"
"2021-07-16","109.83","110.34","109.72","110.08"
"2021-07-15","109.97","110.09","109.72","109.84"
"2021-07-14","110.63","110.70","109.94","109.96"
"2021-07-13","110.38","110.65","110.19","110.63"
"2021-07-12","110.09","110.41","109.99","110.37"
"2021-07-09","109.81","110.26","109.73","110.12"
"2021-07-08","110.65","110.71","109.53","109.76"
"2021-07-07","110.63","110.81","110.39","110.62"
"2021-07-06","110.96","110.98","110.52","110.62"
"2021-07-05","110.98","111.19","110.80","110.97"
"2021-07-02","111.52","111.66","110.95","111.02"
"2021-07-01","111.11","111.64","111.03","111.53"
"2021-06-30","110.53","111.12","110.42","111.11"
"2021-06-29","110.63","110.76","110.43","110.55"
"2021-06-28","110.75","110.98","110.50","110.62"
"2021-06-25","110.87","110.98","110.48","110.79"
"2021-06-24","110.96","111.12","110.70","110.89"
"2021-06-23","110.67","111.10","110.63","110.95"
"2021-06-22","110.31","110.80","110.22","110.67"
"2021-06-21","110.25","110.35","109.72","110.33"
"2021-06-18","110.21","110.48","109.95","110.23"
"2021-06-17","110.71","110.82","110.17","110.24"
"2021-06-16","110.07","110.72","109.81","110.72"
"2021-06-15","110.07","110.17","109.99","110.06"
"2021-06-14","109.67","110.10","109.61","110.07"
"2021-06-11","109.33","109.84","109.31","109.68"
"2021-06-10","109.64","109.80","109.30","109.32"
"2021-06-09","109.49","109.66","109.22","109.64"
"2021-06-08","109.25","109.56","109.20","109.49"
"2021-06-07","109.50","109.64","109.19","109.26"
"2021-06-04","110.30","110.33","109.37","109.54"
"2021-06-03","109.56","110.33","109.53","110.31"
"2021-06-02","109.49","109.89","109.43","109.57"
"2021-06-01","109.58","109.71","109.33","109.50"
"2021-05-31","109.86","109.94","109.36","109.58"
"2021-05-28","109.82","110.20","109.74","109.85"
